name,symmetric,no_arms,armtype,angle,armlen,armthick,armdepth,armsep
AA,symmetric,2,Thread,45,30,1.6,18,30
AB,symmetric,2,Flexures,45,30,1.6,18,30
AC,symmetric,2,Uniform,45,30,1.6,18,30
AD,asymmetric,2,Thread,45,30,1.6,18,30
AE,asymmetric,2,Flexures,45,30,1.6,18,30
AF,asymmetric,2,Uniform,45,30,1.6,18,30
AG,symmetric,3,Thread,45,30,1.6,18,30
AH,symmetric,3,Flexures,45,30,1.6,18,30
AI,symmetric,3,Uniform,45,30,1.6,18,30
AJ,symmetric,4,Thread,45,30,1.6,18,30
AK,symmetric,4,Flexures,45,30,1.6,18,30
AL,symmetric,4,Uniform,45,30,1.6,18,30
AM,symmetric,2,Thread,30,30,1.6,18,30
AN,symmetric,2,Thread,35,30,1.6,18,30
AO,symmetric,2,Thread,40,30,1.6,18,30
AP,symmetric,2,Flexures,30,30,1.6,18,30
AQ,symmetric,2,Flexures,35,30,1.6,18,30
AR,symmetric,2,Flexures,40,30,1.6,18,30
AS,symmetric,2,Uniform,30,30,1.6,18,30
AT,symmetric,2,Uniform,35,30,1.6,18,30
AU,symmetric,2,Uniform,40,30,1.6,18,30
AV,symmetric,2,Thread,45,15,1.6,18,30
AW,symmetric,2,Thread,45,60,1.6,18,30
AX,symmetric,2,Flexures,45,15,1.6,18,30
AY,symmetric,2,Flexures,45,60,1.6,18,30
AZ,symmetric,2,Uniform,45,15,1.6,18,30
BA,symmetric,2,Uniform,45,60,1.6,18,30
BB,symmetric,2,Thread,45,30,2.4,18,30
BC,symmetric,2,Thread,45,30,3.2,18,30
BD,symmetric,2,Flexures,45,30,2.4,18,30
BE,symmetric,2,Flexures,45,30,3.2,18,30
BF,symmetric,2,Uniform,45,30,2.4,18,30
BG,symmetric,2,Uniform,45,30,3.2,18,30
BH,symmetric,2,Thread,45,30,1.6,9,30
BI,symmetric,2,Thread,45,30,1.6,5,30
BJ,symmetric,2,Flexures,45,30,1.6,9,30
BK,symmetric,2,Flexures,45,30,1.6,5,30
BL,symmetric,2,Uniform,45,30,1.6,9,30
BM,symmetric,2,Uniform,45,30,1.6,5,30
BN,symmetric,2,Flexures,45,30,1.6,1.6,30
BO,symmetric,2,Uniform,45,30,1.6,1.6,30
BP,symmetric,2,Thread,45,30,1.6,16,30
BQ,symmetric,2,Thread,45,30,1.6,8,30
BX,symmetric,2,Thread,45,30,0.8,0.8,30
BY,symmetric,2,Thread,45,30,1.2,1.2,30
BZ,symmetric,2,Thread,45,30,2,2,30
BYY,symmetric,2,Thread,45,15,1.6,1.6,15
BZZ,symmetric,2,Uniform,45,15,0.8,2.2,15
