timestamp,direction,force,z,displacement,testno
1724836785.348788,DOWN,-0.018,0,0,1
1724836785.535136,DOWN,-0.023,inf,inf,1
1724836785.641054,DOWN,-0.023,inf,inf,1
1724836785.736937,DOWN,-0.029,inf,inf,1
1724836785.832957,DOWN,-0.037,inf,inf,1
1724836785.93524,DOWN,-0.043,inf,inf,1
1724836786.047203,DOWN,-0.049,inf,inf,1
1724836786.143164,DOWN,-0.054,inf,inf,1
1724836786.232957,DOWN,-0.06,inf,inf,1
1724836786.325751,DOWN,-0.065,inf,inf,1
1724836786.437442,DOWN,-0.069,inf,inf,1
1724836786.533501,DOWN,-0.073,inf,inf,1
1724836786.631795,DOWN,-0.078,inf,inf,1
1724836786.729044,DOWN,-0.082,inf,inf,1
1724836786.840927,DOWN,-0.085,inf,inf,1
1724836786.936911,DOWN,-0.089,inf,inf,1
1724836787.032922,DOWN,-0.092,inf,inf,1
1724836787.1289222,DOWN,-0.094,inf,inf,1
1724836787.2409432,DOWN,-0.097,inf,inf,1
1724836787.3369339,DOWN,-0.099,inf,inf,1
1724836787.451761,DOWN,-0.101,inf,inf,1
1724836787.528977,DOWN,-0.103,inf,inf,1
1724836787.640995,DOWN,-0.105,inf,inf,1
1724836787.743229,DOWN,-0.106,inf,inf,1
1724836787.833013,DOWN,-0.108,inf,inf,1
1724836787.928919,DOWN,-0.109,inf,inf,1
1724836788.047144,DOWN,-0.11,inf,inf,1
1724836788.149496,DOWN,-0.112,inf,inf,1
1724836788.2328992,DOWN,-0.113,inf,inf,1
1724836788.325643,DOWN,-0.114,inf,inf,1
1724836788.440869,DOWN,-0.114,inf,inf,1
1724836788.5369868,DOWN,-0.115,inf,inf,1
1724836788.632908,DOWN,-0.116,inf,inf,1
1724836788.729044,DOWN,-0.116,inf,inf,1
1724836788.847202,DOWN,-0.117,inf,inf,1
1724836788.9369721,DOWN,-0.117,inf,inf,1
1724836789.032979,DOWN,-0.118,inf,inf,1
1724836789.1352441,DOWN,-0.119,inf,inf,1
1724836789.240999,DOWN,-0.12,inf,inf,1
1724836789.336936,DOWN,-0.12,inf,inf,1
1724836789.445612,DOWN,-0.121,inf,inf,1
1724836789.528224,DOWN,-0.122,inf,inf,1
1724836789.639766,DOWN,-0.122,inf,inf,1
1724836789.736974,DOWN,-0.123,inf,inf,1
1724836789.833086,DOWN,-0.123,inf,inf,1
1724836789.925635,DOWN,-0.124,inf,inf,1
1724836790.0409348,DOWN,-0.124,inf,inf,1
1724836790.13697,DOWN,-0.123,inf,inf,1
1724836790.2330549,DOWN,-0.123,inf,inf,1
1724836790.329005,DOWN,-0.123,inf,inf,1
1724836790.437619,DOWN,-0.123,inf,inf,1
1724836790.536997,DOWN,-0.123,inf,inf,1
1724836790.6329558,DOWN,-0.123,inf,inf,1
1724836790.7290628,DOWN,-0.123,inf,inf,1
1724836790.841016,DOWN,-0.123,inf,inf,1
1724836790.939282,DOWN,-0.124,inf,inf,1
1724836791.034036,DOWN,-0.124,inf,inf,1
1724836791.1299782,DOWN,-0.125,inf,inf,1
1724836791.242006,DOWN,-0.125,inf,inf,1
1724836791.3379872,DOWN,-0.124,inf,inf,1
1724836791.4403331,DOWN,-0.121,inf,inf,1
1724836791.530129,DOWN,-0.117,inf,inf,1
1724836791.6447392,DOWN,-0.114,inf,inf,1
1724836791.738128,DOWN,-0.112,inf,inf,1
1724836791.830591,DOWN,-0.109,inf,inf,1
1724836791.930061,DOWN,-0.108,inf,inf,1
1724836792.042031,DOWN,-0.107,inf,inf,1
1724836792.1380632,DOWN,-0.106,inf,inf,1
1724836792.234025,DOWN,-0.104,inf,inf,1
1724836792.330025,DOWN,-0.103,inf,inf,1
1724836792.4513779,DOWN,-0.102,inf,inf,1
1724836792.540119,DOWN,-0.1,inf,inf,1
1724836792.646593,DOWN,-0.099,inf,inf,1
1724836792.73002,DOWN,-0.097,inf,inf,1
1724836792.841567,DOWN,-0.095,inf,inf,1
1724836792.938108,DOWN,-0.094,inf,inf,1
1724836793.0340438,DOWN,-0.092,inf,inf,1
1724836793.130073,DOWN,-0.091,inf,inf,1
1724836793.24208,DOWN,-0.09,inf,inf,1
1724836793.333741,DOWN,-0.088,inf,inf,1
1724836793.434187,DOWN,-0.044,inf,inf,1
1724836793.526836,DOWN,-0.086,inf,inf,1
1724836793.648361,DOWN,-0.084,inf,inf,1
1724836793.737986,DOWN,-0.023,inf,inf,1
1724836793.840275,DOWN,0.05,inf,inf,1
1724836799.9074152,UP,0.004,0,0,1
1724836800.0337448,UP,0.009,inf,inf,1
1724836800.129866,UP,0.01,inf,inf,1
1724836800.254217,UP,0.015,inf,inf,1
1724836800.356408,UP,0.021,inf,inf,1
1724836800.462209,UP,0.028,inf,inf,1
1724836800.558209,UP,0.033,inf,inf,1
1724836800.65302,UP,0.038,inf,inf,1
1724836800.750162,UP,0.043,inf,inf,1
1724836800.868458,UP,0.047,inf,inf,1
1724836800.960632,UP,0.05,inf,inf,1
1724836801.057201,UP,0.054,inf,inf,1
1724836801.150284,UP,0.058,inf,inf,1
1724836801.262152,UP,0.063,inf,inf,1
1724836801.358222,UP,0.067,inf,inf,1
1724836801.4542458,UP,0.072,inf,inf,1
1724836801.550296,UP,0.077,inf,inf,1
1724836801.6621718,UP,0.081,inf,inf,1
1724836801.758344,UP,0.086,inf,inf,1
1724836801.86049,UP,0.089,inf,inf,1
1724836801.950171,UP,0.092,inf,inf,1
1724836802.0621839,UP,0.094,inf,inf,1
1724836802.158259,UP,0.096,inf,inf,1
1724836802.249142,UP,0.098,inf,inf,1
1724836802.350157,UP,0.1,inf,inf,1
1724836802.4622169,UP,0.102,inf,inf,1
1724836802.564429,UP,0.104,inf,inf,1
1724836802.659698,UP,0.106,inf,inf,1
1724836802.7468421,UP,0.107,inf,inf,1
1724836802.8685398,UP,0.108,inf,inf,1
1724836802.95826,UP,0.11,inf,inf,1
1724836803.0542111,UP,0.111,inf,inf,1
1724836803.1502988,UP,0.113,inf,inf,1
1724836803.262259,UP,0.114,inf,inf,1
1724836803.358237,UP,0.115,inf,inf,1
1724836803.460514,UP,0.116,inf,inf,1
1724836803.5503209,UP,0.117,inf,inf,1
1724836803.6622038,UP,0.117,inf,inf,1
1724836803.764588,UP,0.118,inf,inf,1
1724836803.854433,UP,0.119,inf,inf,1
1724836803.946959,UP,0.12,inf,inf,1
1724836804.062283,UP,0.121,inf,inf,1
1724836804.161112,UP,0.121,inf,inf,1
1724836804.254242,UP,0.122,inf,inf,1
1724836804.350216,UP,0.123,inf,inf,1
1724836804.4700139,UP,0.123,inf,inf,1
1724836804.558282,UP,0.123,inf,inf,1
1724836804.654328,UP,0.123,inf,inf,1
1724836804.7543502,UP,0.124,inf,inf,1
1724836804.856653,UP,0.123,inf,inf,1
1724836804.962255,UP,0.122,inf,inf,1
1724836805.0610309,UP,0.121,inf,inf,1
1724836805.154372,UP,0.12,inf,inf,1
1724836805.256659,UP,0.119,inf,inf,1
1724836805.3617449,UP,0.118,inf,inf,1
1724836805.458265,UP,0.117,inf,inf,1
1724836805.560593,UP,0.116,inf,inf,1
1724836805.650343,UP,0.114,inf,inf,1
1724836805.7613802,UP,0.112,inf,inf,1
1724836805.858287,UP,0.11,inf,inf,1
1724836805.95418,UP,0.105,inf,inf,1
1724836806.050358,UP,0.1,inf,inf,1
1724836806.16856,UP,0.098,inf,inf,1
1724836806.25324,UP,0.096,inf,inf,1
1724836806.349349,UP,0.093,inf,inf,1
1724836806.4612648,UP,0.09,inf,inf,1
1724836806.557339,UP,0.089,inf,inf,1
1724836806.653405,UP,0.088,inf,inf,1
1724836806.758305,UP,0.087,inf,inf,1
1724836806.8669372,UP,0.086,inf,inf,1
1724836806.950343,UP,0.086,inf,inf,1
1724836807.062221,UP,0.086,inf,inf,1
1724836807.164586,UP,0.086,inf,inf,1
1724836807.2543879,UP,0.087,inf,inf,1
1724836807.3502688,UP,0.088,inf,inf,1
1724836807.462264,UP,0.089,inf,inf,1
1724836807.557361,UP,0.089,inf,inf,1
1724836807.6493912,UP,0.09,inf,inf,1
1724836807.761301,UP,0.09,inf,inf,1
1724836807.857206,UP,0.088,inf,inf,1
1724836807.953263,UP,0.08,inf,inf,1
1724836808.049325,UP,0.083,inf,inf,1
1724836808.161344,UP,0.086,inf,inf,1
1724836808.263542,UP,0.088,inf,inf,1
1724836808.353332,UP,0.09,inf,inf,1
1724836808.4494028,UP,0.091,inf,inf,1
1724836808.561409,UP,0.093,inf,inf,1
1724836808.6573749,UP,0.094,inf,inf,1
1724836808.7597702,UP,0.095,inf,inf,1
1724836808.852421,UP,0.096,inf,inf,1
1724836808.96134,UP,0.097,inf,inf,1
1724836809.066196,UP,0.027,inf,inf,1
1724836809.1534069,UP,-0.028,inf,inf,1
1724836814.4102972,DOWN,-0.011,0,0,2
1724836814.5825899,DOWN,-0.017,inf,inf,2
1724836814.6534882,DOWN,-0.017,inf,inf,2
1724836814.748697,DOWN,-0.023,inf,inf,2
1724836814.858294,DOWN,-0.032,inf,inf,2
1724836814.953812,DOWN,-0.04,inf,inf,2
1724836815.0597818,DOWN,-0.047,inf,inf,2
1724836815.149531,DOWN,-0.053,inf,inf,2
1724836815.2677472,DOWN,-0.058,inf,inf,2
1724836815.357398,DOWN,-0.063,inf,inf,2
1724836815.453623,DOWN,-0.068,inf,inf,2
1724836815.549475,DOWN,-0.073,inf,inf,2
1724836815.667447,DOWN,-0.077,inf,inf,2
1724836815.757559,DOWN,-0.081,inf,inf,2
1724836815.865387,DOWN,-0.084,inf,inf,2
1724836815.948647,DOWN,-0.087,inf,inf,2
1724836816.057448,DOWN,-0.09,inf,inf,2
1724836816.15759,DOWN,-0.092,inf,inf,2
1724836816.253498,DOWN,-0.095,inf,inf,2
1724836816.345484,DOWN,-0.097,inf,inf,2
1724836816.461476,DOWN,-0.099,inf,inf,2
1724836816.5575402,DOWN,-0.101,inf,inf,2
1724836816.6544929,DOWN,-0.103,inf,inf,2
1724836816.7567518,DOWN,-0.105,inf,inf,2
1724836816.865199,DOWN,-0.107,inf,inf,2
1724836816.961548,DOWN,-0.108,inf,inf,2
1724836817.0544581,DOWN,-0.11,inf,inf,2
1724836817.15051,DOWN,-0.111,inf,inf,2
1724836817.262528,DOWN,-0.113,inf,inf,2
1724836817.358397,DOWN,-0.114,inf,inf,2
1724836817.451113,DOWN,-0.115,inf,inf,2
1724836817.549991,DOWN,-0.116,inf,inf,2
1724836817.662551,DOWN,-0.118,inf,inf,2
1724836817.758615,DOWN,-0.119,inf,inf,2
1724836817.854528,DOWN,-0.119,inf,inf,2
1724836817.963271,DOWN,-0.12,inf,inf,2
1724836818.062467,DOWN,-0.121,inf,inf,2
1724836818.158619,DOWN,-0.121,inf,inf,2
1724836818.254543,DOWN,-0.122,inf,inf,2
1724836818.369526,DOWN,-0.123,inf,inf,2
1724836818.464215,DOWN,-0.124,inf,inf,2
1724836818.5586581,DOWN,-0.125,inf,inf,2
1724836818.6535301,DOWN,-0.126,inf,inf,2
1724836818.756803,DOWN,-0.127,inf,inf,2
1724836818.857663,DOWN,-0.128,inf,inf,2
1724836818.9599822,DOWN,-0.128,inf,inf,2
1724836819.049527,DOWN,-0.128,inf,inf,2
1724836819.161193,DOWN,-0.128,inf,inf,2
1724836819.257531,DOWN,-0.121,inf,inf,2
1724836819.3549209,DOWN,-0.119,inf,inf,2
1724836819.4558668,DOWN,-0.121,inf,inf,2
1724836819.5614452,DOWN,-0.122,inf,inf,2
1724836819.65764,DOWN,-0.123,inf,inf,2
1724836819.7536151,DOWN,-0.124,inf,inf,2
1724836819.849571,DOWN,-0.124,inf,inf,2
1724836819.967757,DOWN,-0.125,inf,inf,2
1724836820.076406,DOWN,-0.125,inf,inf,2
1724836820.1535501,DOWN,-0.126,inf,inf,2
1724836820.2494762,DOWN,-0.126,inf,inf,2
1724836820.3605728,DOWN,-0.125,inf,inf,2
1724836820.450536,DOWN,-0.123,inf,inf,2
1724836820.562051,DOWN,-0.12,inf,inf,2
1724836820.658725,DOWN,-0.118,inf,inf,2
1724836820.7546382,DOWN,-0.116,inf,inf,2
1724836820.850515,DOWN,-0.112,inf,inf,2
1724836820.9626281,DOWN,-0.109,inf,inf,2
1724836821.0552242,DOWN,-0.108,inf,inf,2
1724836821.1610932,DOWN,-0.107,inf,inf,2
1724836821.256981,DOWN,-0.106,inf,inf,2
1724836821.3626082,DOWN,-0.105,inf,inf,2
1724836821.464898,DOWN,-0.103,inf,inf,2
1724836821.554709,DOWN,-0.101,inf,inf,2
1724836821.6505961,DOWN,-0.099,inf,inf,2
1724836821.7625961,DOWN,-0.097,inf,inf,2
1724836821.858696,DOWN,-0.096,inf,inf,2
1724836821.9546418,DOWN,-0.095,inf,inf,2
1724836822.0527308,DOWN,-0.093,inf,inf,2
1724836822.162591,DOWN,-0.092,inf,inf,2
1724836822.2586539,DOWN,-0.091,inf,inf,2
1724836822.354569,DOWN,-0.089,inf,inf,2
1724836822.4562979,DOWN,-0.088,inf,inf,2
1724836822.5626361,DOWN,-0.039,inf,inf,2
1724836822.658619,DOWN,0.05,inf,inf,2
1724836828.908752,UP,0.006,0,0,2
1724836829.070314,UP,0.01,inf,inf,2
1724836829.175545,UP,0.01,inf,inf,2
1724836829.255681,UP,0.013,inf,inf,2
1724836829.36173,UP,0.019,inf,inf,2
1724836829.457686,UP,0.026,inf,inf,2
1724836829.5502279,UP,0.032,inf,inf,2
1724836829.649743,UP,0.037,inf,inf,2
1724836829.761695,UP,0.042,inf,inf,2
1724836829.858367,UP,0.047,inf,inf,2
1724836829.953781,UP,0.051,inf,inf,2
1724836830.0560288,UP,0.054,inf,inf,2
1724836830.1617641,UP,0.056,inf,inf,2
1724836830.26404,UP,0.058,inf,inf,2
1724836830.369081,UP,0.061,inf,inf,2
1724836830.45593,UP,0.064,inf,inf,2
1724836830.561107,UP,0.068,inf,inf,2
1724836830.657662,UP,0.072,inf,inf,2
