timestamp,direction,force,z,displacement,testno
1724837368.542026,DOWN,-0.009,0,0,1
1724837368.6741388,DOWN,-0.019,inf,inf,1
1724837368.769054,DOWN,-0.021,inf,inf,1
1724837368.8758001,DOWN,-0.033,inf,inf,1
1724837368.968561,DOWN,-0.053,inf,inf,1
1724837369.074052,DOWN,-0.07,inf,inf,1
1724837369.1638122,DOWN,-0.082,inf,inf,1
1724837369.275805,DOWN,-0.092,inf,inf,1
1724837369.371608,DOWN,-0.099,inf,inf,1
1724837369.467808,DOWN,-0.105,inf,inf,1
1724837369.569537,DOWN,-0.109,inf,inf,1
1724837369.6758149,DOWN,-0.112,inf,inf,1
1724837369.771841,DOWN,-0.115,inf,inf,1
1724837369.8678799,DOWN,-0.117,inf,inf,1
1724837369.960337,DOWN,-0.12,inf,inf,1
1724837370.082061,DOWN,-0.122,inf,inf,1
1724837370.171846,DOWN,-0.125,inf,inf,1
1724837370.2690718,DOWN,-0.127,inf,inf,1
1724837370.361783,DOWN,-0.118,inf,inf,1
1724837370.47382,DOWN,-0.12,inf,inf,1
1724837370.5688581,DOWN,-0.122,inf,inf,1
1724837370.672096,DOWN,-0.124,inf,inf,1
1724837370.767085,DOWN,-0.12,inf,inf,1
1724837370.8737931,DOWN,-0.112,inf,inf,1
1724837370.969822,DOWN,-0.107,inf,inf,1
1724837371.072132,DOWN,-0.103,inf,inf,1
1724837371.168134,DOWN,-0.099,inf,inf,1
1724837371.2738519,DOWN,-0.095,inf,inf,1
1724837371.369848,DOWN,-0.09,inf,inf,1
1724837371.4721751,DOWN,-0.071,inf,inf,1
1724837371.568198,DOWN,0.038,inf,inf,1
1724837372.163811,DOWN,0.0,inf,-10.5,1
1724837376.3991199,UP,0.014,0,0,1
1724837376.562048,UP,0.019,inf,inf,1
1724837376.672794,UP,0.02,inf,inf,1
1724837376.772817,UP,0.033,inf,inf,1
1724837376.872194,UP,0.047,inf,inf,1
1724837376.961937,UP,0.056,inf,inf,1
1724837377.0739908,UP,0.065,inf,inf,1
1724837377.169983,UP,0.075,inf,inf,1
1724837377.266002,UP,0.088,inf,inf,1
1724837377.367457,UP,0.097,inf,inf,1
1724837377.47396,UP,0.103,inf,inf,1
1724837377.569953,UP,0.107,inf,inf,1
1724837377.665911,UP,0.111,inf,inf,1
1724837377.76202,UP,0.114,inf,inf,1
1724837377.87402,UP,0.117,inf,inf,1
1724837377.9614668,UP,0.118,inf,inf,1
1724837378.0689962,UP,0.119,inf,inf,1
1724837378.1649861,UP,0.12,inf,inf,1
1724837378.2610261,UP,0.119,inf,inf,1
1724837378.372087,UP,0.117,inf,inf,1
1724837378.469026,UP,0.111,inf,inf,1
1724837378.571292,UP,0.099,inf,inf,1
1724837378.660852,UP,0.089,inf,inf,1
1724837378.773073,UP,0.081,inf,inf,1
1724837378.868974,UP,0.075,inf,inf,1
1724837378.9775622,UP,0.072,inf,inf,1
1724837379.060992,UP,0.072,inf,inf,1
1724837379.179293,UP,0.075,inf,inf,1
1724837379.276047,UP,0.081,inf,inf,1
1724837379.367021,UP,0.088,inf,inf,1
1724837379.461864,UP,0.093,inf,inf,1
1724837379.5749881,UP,-0.006,inf,inf,1
1724837380.064854,UP,-0.0,inf,10.5,1
